id,playername,seasonplayed,age,occupation,hometown,startingtribe,startingtribecolor,timesswapped,mergetribe,mergetribecolor,finalplacement,votescast,correctlyvoted,votesrecieved,votesnegated,tribeimmunities,individualimmunites,tribalsattended,playersonseason,advantagesplayed
817,Julie Alley,Survivor 45,49,Estate Attorney,"Brentwood, TN",Reba,Red,1,Dakuwaqa,Orange,5,10,8,13,6,5,0,9,18,
818,Katurah Topps,Survivor 45,34,Civil Rights Attorney,"Brooklyn, NY",Belo,Blue,1,Dakuwaqa,Orange,4,8,5,1,1,6,0,9,18,
819,Jake O'Kane,Survivor 45,26,Attorney,"Boston, MA",Belo,Blue,1,Dakuwaqa,Orange,3,8,4,8,0,6,0,9,18,
820,Austin Li Coon,Survivor 45,26,Graduate Student,"Chicago, IL",Reba,Red,1,Dakuwaqa,Orange,2,8,6,0,0,5,2,10,18,
821,Dee Valladares,Survivor 45,26,Entrepreneur,"Miami, FL",Reba,Red,1,Dakuwaqa,Orange,1,10,5,2,0,4,3,10,18,
822,David Jelinsky,Survivor 46,21,Slot Machine Salesman,"Las Vegas, NV",Yanu,Purple,0,No Merge,N/A,18,0,0,5,0,0,0,1,18,
823,Jess Chong,Survivor 46,37,Software Engineer,"San Francisco, CA",Yanu,Purple,0,No Merge,N/A,17,2,1,4,0,0,0,2,18,
824,Randen Montalvo,Survivor 46,40,Aerospace Tech,"Orlando, FL",Nami,Orange,0,No Merge,N/A,16,0,0,0,0,0,0,0,18,
825,Bhanu Gopal,Survivor 46,40,IT Quality Analyst,"Acton, MA",Yanu,Purple,0,No Merge,N/A,15,2,2,4,0,0,0,3,18,
826,Jem Hussain-Adams,Survivor 46,31,International Brand Mentor,"Chicago, IL",Siga,Green,0,No Merge,N/A,14,1,0,4,0,4,0,1,18,
827,Moriah Gaynor,Survivor 46,28,Program Coordinator,"San Diego, CA",Siga,Green,0,Nuinui,Red,13,1,0,10,0,4,0,2,18,
828,Tim Spicer,Survivor 46,30,College Coach,"Atlanta, GA",Siga,Green,0,Nuinui,Red,12,3,2,4,0,5,0,3,18,
829,Soda Thompson,Survivor 46,27,Special Ed Teacher,"Lake Hopatcong, NJ",Nami,Orange,0,Nuinui,Red,11,2,1,4,0,5,0,2,18,
830,Tevin Davis,Survivor 46,24,Actor,"Richmond, VA",Nami,Orange,0,Nuinui,Red,10,3,2,8,0,6,0,2,18,
831,Hunter McKnight,Survivor 46,27,Science Teacher,"French Camp, MS",Nami ,Orange,0,Nuinui,Red,9,3,1,12,0,6,1,3,18,
832,Tiffany Nicole Ervin,Survivor 46,32,Artist,"Elizabeth, NJ",Yanu,Purple,0,Nuinui,Red,8,9,8,5,0,2,0,8,18,
833,Venus Vafa,Survivor 46,24,Data Analyst,"Toronto, ON",Nami,Orange,0,Nuinui,Red,7,7,4,10,0,5,0,6,18,
834,Q Burdette,Survivor 46,29,Real Estate Agent,"Memphis, TN",Yanu,Purple,0,Nuinui,Red,6,10,8,13,0,2,0,10,18,
835,Maria Shrime Gonzalez,Survivor 46,47,Parent Coach,"Dallas, TX",Siga,Green,0,Nuinui,Red,5,11,9,4,0,4,3,9,18,
836,Liz Wilcox,Survivor 46,35,Marketing Strategist,"Orlando, FL",Nami,Orange,0,Nuinui,Red,4,9,7,0,0,5,0,9,18,
837,Ben Katzman,Survivor 46,31,Musician,"Miami, FL",Siga,Green,0,Nuinui,Red,3,9,7,4,0,5,1,10,18,
838,Charlie Davis,Survivor 46,25,Law Student,"Boston, MA",Siga,Green,0,Nuinui,Red,2,10,9,2,0,4,2,10,18,
839,Kenzie Petty,Survivor 46,28,Salon Owner,"Charlotte, NC",Yanu,Purple,0,Nuinui,Red,1,12,10,1,0,2,2,12,18,
840,Jon Lovett,Survivor 47,41,Podcast Host,"Los Angeles, CA",Gata,Yellow,0,No Merge,N/A,18,1,0,5,0,0,0,1,18,
841,TK Foster,Survivor 47,31,Athlete Marketing Manager,"Upper Marlboro, MD",Tuku,Blue,0,No Merge,N/A,17,1,0,4,0,1,0,1,18,
842,Aysha Welch,Survivor 47,32,IT Consultant,"Houston, TX",Lavo,Red,0,No Merge,N/A,16,1,0,3,0,2,0,1,18,
843,Kishan Patel,Survivor 47,27,ER Doctor,"San Francisco, CA",Lavo,Red,0,No Merge,N/A,15,1,1,4,0,2,0,2,18,
844,Anika Dhar,Survivor 47,26,Marketing Manager,"Los Angeles, CA",Gata,Yellow,0,No Merge,N/A,14,1,0,4,0,3,0,2,18,
845,Rome Cooney,Survivor 47,30,E-Sports Commentator,"Phoenix, AZ",Lavo,Red,0,Beka,Purple,13,4,3,10,1,2,0,3,18,
846,Tiyana Hallums,Survivor 47,27,Flight Attendant,"Aiea, HI",Tuku,Blue,0,Beka,Purple,12,3,2,4,0,4,0,3,18,
847,Sierra Wright,Survivor 47,26,Nurse,"Phoenixville, PA",Gata,Yellow,0,Beka,Purple,11,5,3,12,0,3,0,4,18,
848,Sol Yi,Survivor 47,42,Medical Device Salesman,"Norwalk, CT",Lavo,Red,0,Beka,Purple,10,6,2,9,0,3,0,5,18,
849,Gabe Ortiz,Survivor 47,26,Radio Show Host,"Baltimore, MD",Tuku,Blue,0,Beka,Purple,9,7,6,9,0,4,1,6,18,
850,Kyle Ostwald,Survivor 47,31,Construction Worker,"Cheboygan, MI",Tuku,Blue,0,Beka,Purple,8,7,5,6,0,4,4,7,18,
851,Caroline Vidmar,Survivor 47,27,Strategy Consultant,"Chicago, IL",Tuku,Blue,0,Beka,Purple,7,8,7,3,0,4,0,8,18,
852,Andy Rueda,Survivor 47,31,AI Research Assistant,"Brooklyn, NY",Gata,Yellow,0,Beka,Purple,6,10,7,5,0,3,0,9,18,
853,Genevieve Mushaluk,Survivor 47,32,Corporate Lawyer,"Winnipeg, MB",Lavo,Red,0,Beka,Purple,5,11,8,9,0,3,1,10,18,
854,Teeny Chirichillo,Survivor 47,23,Freelance Writer,"Manahawkin, NJ",Lavo,Red,0,Beka,Purple,4,10,5,1,0,3,0,11,18,
855,Sue Smey,Survivor 47,58,Flight School Owner,"Putnam Valley, NY",Tuku,Blue,0,Beka,Purple,3,11,8,3,0,4,1,11,18,
856,Sam Phalen,Survivor 47,24,Sports Reporter,"Nashville, TN",Gata,Yellow,0,Beka,Purple,2,8,8,10,0,3,0,11,18,
857,Rachel LaMont,Survivor 47,34,Graphic Designer,"Southfield, MI",Gata ,Yellow,0,Beka,Purple,1,9,7,3,3,3,4,12,18,
858,Stephanie Berger,Survivor 48,37,Tech Product Lead,"Brooklyn, NY",Vula,Green,0,No Merge,N/A,18,0,0,4,0,0,0,1,18,
859,Kevin Leung,Survivor 48,33,Finance Manager,"Livermore, CA",Vula,Green,0,No Merge,N/A,17,2,1,3,0,0,0,2,18,
860,Justin Pioppi,Survivor 48,29,Pizzeria Manager,"Winthrop, MA",Vula,Green,0,No Merge,N/A,16,2,2,3,0,0,0,3,18,
861,Thomas Krottinger,Survivor 48,34,Music Executive,"Los Angeles, CA",Lagi,Purple,1,No Merge,N/A,15,1,0,3,3,0,0,1,18,
862,Bianca Roses,Survivor 48,32,PR Consultant,"Arlington, VA",Lagi,Purple,1,No Merge,N/A,14,0,0,2,0,4,0,1,18,
863,Charity Nelms,Survivor 48,33,Flight Attendant,"St. Petersburg, FL",Civa,Orange,1,Niu Nai,Blue,13,1,0,7,0,5,0,1,18,
864,Saiounia Hughley,Survivor 48,29,Marketing Professional,"Simi Valley, CA",Vula,Green,1,Niu Nai,Blue,12,7,5,15,1,1,0,6,18,
865,Cedrek McFadden,Survivor 48,45,Surgeon,"Greenville, SC",Vula,Green,1,Niu Nai,Blue,11,9,5,6,0,1,0,6,18,
866,Chrissy Sarnowsky,Survivor 48,54,Fire Lieutenant,"Chicago, IL",Civa,Orange,1,Niu Nai,Blue,10,4,3,9,0,4,0,4,18,
867,David Kinne,Survivor 48,38,Stunt Performer,"Buena Park, CA",Civa,Orange,1,Niu Nai,Blue,9,4,2,6,0,5,1,4,18,
868,Star Toomey,Survivor 48,27,Sales Expert,"Augusta, GA",Lagi,Purple,1,Niu Nai,Blue,8,4,2,5,0,5,0,5,18,
869,Mary Zheng,Survivor 48,30,Substance Abuse Counselor,"Philadelphia, PA",Vula,Green,1,Niu Nai,Blue,7,7,4,11,2,2,0,9,18,
870,Shauhin Davari,Survivor 48,37,Debate Professor,"Costa Mesa, CA",Lagi,Purple,1,Niu Nai,Blue,6,8,6,6,0,4,0,8,18,
871,Mitch Guerra,Survivor 48,34,P.E. Coach,"Waco, TX",Civa,Orange,1,Niu Nai,Blue,5,9,5,9,0,4,0,9,18,
872,Kamilla Karthigesu,Survivor 48,30,Software Engineer,"Foster City, CA",Civa,Orange,1,Niu Nai,Blue,4,9,7,0,0,4,2,10,18,
873,Joe Hunter,Survivor 48,45,Fire Captain,"West Sacramento, CA",Lagi,Purple,1,Niu Nai,Blue,3,9,8,1,0,4,4,10,18,
874,Eva Erickson,Survivor 48,23,PhD Candidate,"Providence, RI",Lagi,Purple,1,Niu Nai,Blue,2,8,7,0,0,5,1,9,18,
875,Kyle Fraser,Survivor 48,30,Attorney,"Brooklyn, NY",Civa,Orange,1,Niu Nai,Blue,1,10,10,4,3,4,2,10,18,
